PRACTICE_CODE,PRACTICE_POSTCODE,total_rows,total_cot,total_uda,avg_uda_per_cot,child_count,nonpaying_count,paying_count,band1,band2a,band2b,band2c,band3,urgent_count,free_count,reg11_count
V000003,RH11 7HL,111,6882,10712.0,1.56,32,37,42,20,23,19,12,12,24,0,1
V000004,GU29 9HH,67,4489,9010.0,2.01,22,21,24,12,12,12,5,12,12,2,0
V000005,BN17 7JJ,73,3916,7979.6,2.04,22,24,27,12,12,12,10,12,12,3,0
V000006,BN15 0DJ,75,5357,9036.8,1.69,22,25,28,12,13,12,8,12,14,3,1
V000007,RH11 8JF,101,12059,23540.6,1.95,30,34,37,20,23,22,11,12,12,1,0
V000009,PO19 1PL,80,14955,33552.0,2.24,24,25,31,12,13,12,10,12,15,4,2
V000010,EX20 1DZ,72,4775,10316.8,2.16,20,24,28,12,12,12,9,10,12,5,0
V000011,BN16 1NP,4,5,13,2.6,2,1,1,1,3,0,0,0,0,0,0
V000013,BN5 9HF,59,3394,5079.6,1.5,18,21,20,12,12,12,0,10,12,0,0
V000014,BN17 5JR,21,2091,2728.6,1.3,19,2,0,5,4,5,1,2,4,0,0
V000015,RH19 1QD,75,7420,14800.2,1.99,23,21,31,12,12,12,5,12,12,7,2
V000016,PO21 1LG,74,7179,14396.8,2.01,22,24,28,12,12,12,9,11,12,6,0
V000018,RH12 3HB,67,4954,9074.8,1.83,22,20,25,12,12,12,2,12,12,2,2
V000019,RH12 1SL,65,7414,22066.2,2.98,18,20,27,12,12,12,2,10,12,3,2
V000021,BN44 3GG,81,5524,12106.6,2.19,22,26,33,14,15,14,9,12,13,4,0
V000023,MK6 2BG,75,6270,13054.8,2.08,22,24,29,12,12,12,12,10,12,4,1
V000024,BN11 1RY,84,15822,30596.0,1.93,24,28,32,13,14,13,12,12,15,4,1
V000028,BA21 4HD,105,11931,23270.6,1.95,28,42,35,17,19,16,11,12,23,5,2
V000029,GU14 7AN,66,9096,16695.6,1.84,18,21,27,12,12,12,5,10,12,3,0
V000030,ME1 2AB,84,11499,23203.8,2.02,24,23,37,13,18,16,8,12,12,4,1
V000032,TS5 5PH,110,23118,42019.8,1.82,29,38,43,19,20,18,9,12,24,4,4
V000035,SO45 2QL,76,13379,27401.4,2.05,22,24,30,12,12,12,10,12,12,4,2
V000037,SK5 8BS,67,1524,3768.2,2.47,20,23,24,12,12,12,5,12,12,2,0
V000040,N9 0TZ,66,3026,7741.4,2.56,20,21,25,12,12,12,4,11,12,2,1
V000041,LE3 1AL,72,2215,4174.6,1.88,22,22,28,12,12,12,8,12,12,3,1
V000043,SL1 2BJ,36,1399,1676.4,1.2,9,13,14,11,5,3,0,1,12,4,0
V000044,TW2 6JS,69,5732,11487.8,2.0,22,22,25,12,12,12,7,12,12,2,0
V000045,DY2 7DJ,71,7878,19337.2,2.45,20,23,28,12,12,12,6,12,12,4,1
V000046,RH10 5EX,68,4595,8823.0,1.92,21,22,25,12,12,12,4,12,12,4,0
V000048,E1 1BJ,79,14569,34736.6,2.38,25,25,29,12,13,12,11,12,15,0,4
V000049,S7 1FD,151,7093,15215.2,2.15,44,62,45,32,27,25,12,16,33,1,3
