PRACTICE_POSTCODE,Urgent_Count,Total_Count,Pressure_Index_Pct
SE135FH,178,178,100.0
PE47DG,424,424,100.0
CB28NX,309,309,100.0
HU12PS,5684,5685,99.98
CR91PJ,12831,12841,99.92
W55RG,2282,2285,99.87
KT27QB,396,397,99.75
ME206QJ,3519,3533,99.6
CT13NG,5007,5029,99.56
ME12EL,4308,4328,99.54
TS36AL,2039,2049,99.51
NE63AB,1665,1675,99.4
WC1V6LS,4577,4608,99.33
SR69AR,7904,7958,99.32
SN14AU,426,429,99.3
OX41XD,2598,2622,99.08
CA12SE,1421,1435,99.02
BS50UA,4691,4748,98.8
S102QE,23418,23704,98.79
BA12BT,807,818,98.66
W106DZ,301,306,98.37
CB13DQ,3379,3444,98.11
EC1A4JQ,499,510,97.84
OX39JA,295,302,97.68
RH117DH,6473,6632,97.6
LA45NN,25355,26040,97.37
CA288JG,3320,3417,97.16
NE311LR,134,138,97.1
SL12BJ,1354,1399,96.78
B974BD,150,155,96.77
TA63LS,1509,1570,96.11
IP12BP,1241,1295,95.83
DL14SU,3384,3537,95.67
SE18RQ,2674,2805,95.33
HP202SR,330,347,95.1
SN105EQ,502,528,95.08
SO225DF,442,466,94.85
PE11TN,2101,2221,94.6
SN152AJ,793,869,91.25
NE157HJ,1260,1397,90.19
TS240JT,670,744,90.05
E83NS,5625,6541,86.0
L93DF,406,497,81.69
WA157JW,37282,46394,80.36
WA11BL,10048,12839,78.26
SW183HU,151,195,77.44
E125AD,5143,6685,76.93
WR13DB,1373,1795,76.49
TW153JZ,308,407,75.68
TR12JA,9836,13005,75.63
DT51DL,274,367,74.66
NW73RE,2961,4040,73.29
CV238AP,215,294,73.13
NG11HW,5931,8160,72.68
NW23HY,5984,8261,72.44
N32SB,4323,6131,70.51
LA141XH,3544,5044,70.26
E149PA,9180,13328,68.88
N227XH,10447,15229,68.6
TF92JL,187,273,68.5
NE61SG,1116,1652,67.55
CB89YG,196,293,66.89
DY101PG,527,796,66.21
NE323UX,2289,3497,65.46
DH15TW,1999,3060,65.33
PR11HQ,1333,2058,64.77
E48JL,4631,7190,64.41
HG41HN,25500,39902,63.91
SM46HY,1083,1700,63.71
SY12EJ,2305,3636,63.39
GU227HS,1334,2114,63.1
BL34QW,15951,25544,62.45
GL128DB,169,274,61.68
IP41QJ,738,1219,60.54
L97LH,251,421,59.62
SY111GA,1110,1862,59.61
ST12BN,5422,9222,58.79
EN91NN,1881,3224,58.34
WR111JT,376,650,57.85
EX79HX,351,617,56.89
WN25TH,196,347,56.48
NE659XG,972,1724,56.38
SW97NU,7682,13935,55.13
B976QS,73,133,54.89
LA13QZ,376,686,54.81
SN101AR,221,404,54.7
HU95LS,600,1100,54.55
DN76EE,645,1185,54.43
DE141EG,3851,7094,54.29
W120LU,6430,11863,54.2
NR14LU,615,1145,53.71
LA184NA,243,453,53.64
CA255BL,1376,2587,53.19
OL81NN,14017,26386,53.12
WA52EN,97,183,53.01
SW113QA,5245,9903,52.96
HA29TR,3888,7371,52.75
SW25XF,181,345,52.46
LS237AZ,250,482,51.87
SM25PD,70,135,51.85
HP30NZ,162,330,49.09
TN30ET,614,1278,48.04
PL48NQ,1907,4026,47.37
SN105TU,218,461,47.29
CA27HY,1138,2421,47.01
DN157PN,5369,11517,46.62
BN29NE,4162,8969,46.4
NE334AR,530,1150,46.09
MK401HG,53,115,46.09
HU28JQ,4345,9543,45.53
SE78UD,4747,10453,45.41
TN377AN,1200,2663,45.06
CV238SZ,106,236,44.92
HR12HU,5686,12727,44.68
NN82NX,207,466,44.42
S653ET,2376,5354,44.38
SG11LX,9094,20947,43.41
WF92RN,6186,14265,43.36
E12LP,892,2057,43.36
TQ124XX,3767,8710,43.25
NE331PD,5424,12621,42.98
PO167AD,4510,10578,42.64
TW59TY,7607,17866,42.58
TQ25YH,1372,3230,42.48
CV100JL,51,121,42.15
MK416HL,380,908,41.85
YO411PS,87,209,41.63
HD11LG,1838,4463,41.18
B323LE,641,1565,40.96
EX12ED,979,2403,40.74
NW102NX,2776,6835,40.61
ME124DZ,347,864,40.16
DE65HW,65,163,39.88
RM53NR,3961,9946,39.83
RG95SB,125,317,39.43
OL129DP,93,236,39.41
E62BH,7526,19115,39.37
SO155PQ,8866,22566,39.29
L114SH,6435,16424,39.18
CH498EQ,2565,6546,39.18
PR268LW,126,322,39.13
TF75QZ,3228,8397,38.44
LE30BD,3519,9190,38.29
E173AG,1244,3320,37.47
BD74PY,4180,11160,37.46
RM77HL,6139,16395,37.44
TQ126DW,188,503,37.38
ST148XR,87,233,37.34
B421TG,3876,10432,37.15
L203EF,7439,20160,36.9
E201BX,2570,7111,36.14
S22BR,3010,8535,35.27
MK401NN,3457,9938,34.79
LS167NR,1013,2931,34.56
DE236WD,10352,29960,34.55
DT51EQ,116,337,34.42
IG11AR,8185,23809,34.38
TW50AA,1422,4141,34.34
GU249EX,70,204,34.31
LE17BA,3963,11553,34.3
CA287UJ,389,1142,34.06
SY79QJ,75,221,33.94
E12JT,808,2425,33.32
EX44EX,64,193,33.16
SP70AH,45,136,33.09
SE108NB,4173,12701,32.86
NE81EE,694,2114,32.83
NR23TU,2067,6355,32.53
WV107PU,40,123,32.52
SE166HZ,1193,3668,32.52
SK97UD,50,154,32.47
NE391HX,2801,8632,32.45
FY53NG,1551,4792,32.37
HU36NS,1873,5792,32.34
RM107YX,4521,14223,31.79
PE37PD,193,613,31.48
CV21NB,1293,4117,31.41
HA96AH,405,1293,31.32
N168EL,1655,5293,31.27
W91QJ,382,1244,30.71
PO326RD,4418,14415,30.65
LS277WF,258,842,30.64
SE265HF,1942,6367,30.5
OX251PZ,68,223,30.49
SL21JF,1293,4243,30.47
DE655DN,57,188,30.32
SS141TS,2292,7567,30.29
NE156TB,1847,6101,30.27
UB11RQ,8837,29292,30.17
BS231PG,560,1865,30.03
NN172UR,3746,12620,29.68
N154JR,1982,6710,29.54
B111UH,1112,3772,29.48
SW166QT,183,624,29.33
HP24AG,1263,4335,29.13
PR71PL,3684,12718,28.97
GL522LZ,645,2239,28.81
NR65HQ,337,1172,28.75
TS160BU,317,1106,28.66
ME13QS,105,368,28.53
PL14JZ,148,523,28.3
BS66SA,2566,9113,28.16
TR37QW,664,2377,27.93
BS376EE,2593,9364,27.69
WF20NL,537,1942,27.65
NR146QH,802,2903,27.63
OL127NH,1259,4585,27.46
DA76HJ,749,2785,26.89
W23BP,1712,6376,26.85
BN33DX,360,1345,26.77
WD180PD,1289,4851,26.57
N42AA,279,1052,26.52
ME124AA,94,356,26.4
NG139FQ,96,366,26.23
MK22EH,1077,4120,26.14
PO14ND,4999,19285,25.92
TS101BD,182,704,25.85
TN231JJ,234,907,25.8
FY69AG,244,947,25.77
W21ES,1799,7039,25.56
SR81BT,2040,7993,25.52
CR01EW,2783,10970,25.37
L43RL,2245,8874,25.3
LU12AL,1420,5628,25.23
WF128DJ,2030,8099,25.06
DA175QQ,1093,4363,25.05
IG110LG,990,3959,25.01
B377TP,3679,14753,24.94
CH449DQ,67,269,24.91
GU147SB,3070,12379,24.8
LS251AA,5206,21032,24.75
B911AA,1850,7572,24.43
IG117RL,4325,17776,24.33
DL167LD,164,680,24.12
LS85DH,2683,11130,24.11
ME141UZ,161,669,24.07
WA101SN,924,3855,23.97
BR52RG,960,4010,23.94
PE220QX,57,239,23.85
TF43AL,481,2018,23.84
WA44RL,129,543,23.76
PR29QB,561,2362,23.75
N80JG,933,3928,23.75
SW59RL,235,993,23.67
KT25QY,490,2075,23.61
S62SA,1220,5169,23.6
BB51EH,317,1343,23.6
NG210JP,2041,8683,23.51
HR12ES,1382,5896,23.44
SE83PR,1451,6195,23.42
M278FB,175,748,23.4
EX70NH,1099,4724,23.26
CM95BS,1243,5373,23.13
RG226ER,7803,33926,23.0
SM51AG,3186,13871,22.97
W93EF,540,2369,22.79
WS86EQ,795,3521,22.58
DN311EY,6245,27657,22.58
CO45EG,1714,7599,22.56
HA37BA,1984,8810,22.52
DT65DU,432,1919,22.51
PE280SR,86,384,22.4
SE58QU,2327,10401,22.37
EN54BW,442,1984,22.28
YO126UA,204,916,22.27
NG147DA,91,409,22.25
SE129PP,1392,6259,22.24
LS146HT,2295,10332,22.21
S71FD,1574,7093,22.19
NW23JR,582,2627,22.15
DL170HF,104,470,22.13
W130SY,1083,4898,22.11
EC1V9DS,644,2915,22.09
BN14GB,526,2386,22.05
N156SB,815,3698,22.04
M72JB,2090,9489,22.03
MK23HN,345,1571,21.96
SM60HW,673,3068,21.94
PR99SD,1180,5379,21.94
SS142EZ,1667,7605,21.92
CW84AN,1104,5057,21.83
SL11EQ,4331,19845,21.82
CO12PJ,1209,5553,21.77
SE29BH,948,4358,21.75
E81EP,1237,5704,21.69
DH63NT,1606,7415,21.66
SM25PJ,49,227,21.59
RM204AR,801,3718,21.54
SE280FJ,142,660,21.52
SM44DX,614,2870,21.39
B112HR,519,2428,21.38
WD61AT,1380,6480,21.3
NE109ND,2189,10317,21.22
BR28AR,1450,6872,21.1
NE18DQ,1436,6823,21.05
SK116XN,3538,16854,20.99
NW67JG,152,724,20.99
B192ER,649,3108,20.88
TN393JD,36,173,20.81
SE233HN,2606,12544,20.77
LE112AG,2103,10124,20.77
HA29LW,1001,4827,20.74
N128PR,1698,8190,20.73
BN19RW,93,450,20.67
W112SE,1090,5283,20.63
W1H4JL,497,2412,20.61
W127DA,863,4190,20.6
SW61NW,5687,27720,20.52
B680DY,134,653,20.52
YO71DA,2121,10377,20.44
PL34DA,1713,8382,20.44
RM94TP,1759,8613,20.42
EX388EU,183,898,20.38
CT12NA,939,4608,20.38
BD89EH,1234,6064,20.35
TW46LE,639,3151,20.28
HD61JL,544,2686,20.25
OL161PZ,2583,12779,20.21
L392AZ,2466,12205,20.2
E20AN,600,2976,20.16
TD152EQ,859,4262,20.15
NR256QA,311,1548,20.09
NE17PG,1099,5474,20.08
NE661PR,1427,7115,20.06
YO613JB,318,1587,20.04
SN15JE,1171,5850,20.02
CH619NG,1004,5015,20.02
